gene	npas	pval	RLDu	RLDi	REDu	REDu.pval	REDi	REDi.pval	nread.c1.1	nread.c2.1
Col20a1	2	1	NA	0	NA	NA	0	1	627	627
Tpd52l2	4	1	0	NA	0	1	NA	NA	13365	13365
Dnajc5	3	1	0	NA	0	1	NA	NA	17680	17680
Uckl1os	2	1	NA	NA	NA	NA	NA	NA	401	401
Tcea2	4	1	0	0	0	1	0	1	2564	2564
Myt1	5	1	0	NA	0	1	NA	NA	1412	1412
Polr3k	4	1	0	NA	0	1	NA	NA	9814	9814
Rpp38	2	1	0	NA	0	1	NA	NA	2964	2964
Suv39h2	4	1	0	0	0	1	0	1	1106	1106
Hspa14	5	1	NA	0	NA	NA	0	1	2919	2919
Prpf18	4	1	0	NA	0	1	NA	NA	3827	3827
Optn	2	1	0	NA	0	1	NA	NA	2129	2129
Cdc123	2	1	0	NA	0	1	NA	NA	17757	17757
Dhtkd1	3	1	0	NA	0	1	NA	NA	433	433
Echdc3	3	1	0	0	0	1	0	1	175	175
Celf2	5	1	0	NA	0	1	NA	NA	22469	22469
Taf3	5	1	0	NA	0	1	NA	NA	708	708
Pfkfb3	2	1	NA	0	NA	NA	0	1	1121	1121
Mindy3	2	1	0	NA	0	1	NA	NA	6610	6610
C1ql3	3	1	0	NA	0	1	NA	NA	829	829
Trdmt1	5	1	0	NA	0	1	NA	NA	1283	1283
St8sia6	3	1	0	NA	0	1	NA	NA	300	300
Nsun6	3	1	0	0	0	1	0	1	725	725
Nebl	5	1	0	NA	0	1	NA	NA	5994	5994
Skida1	6	1	0	0	0	1	0	1	400	400
